signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2024-01-15 00:00:00+00:00,BTCUSD,SHORT,continuation,67,16,5,7,3,15,4,5,8,3,1,42327.88,H4_RESISTANCE,42364.3095,43732.7677,37574.7058,3.5,0.0323,TIMEOUT,1.711,-0.887,2.784,True,240,5,2024-01-15 01:00:00+00:00,2024-01-25 01:00:00+00:00,-0.0216,10.0,False,27.9
2024-01-25 10:00:00+00:00,BTCUSD,SHORT,continuation,63,25,2,2,0,15,4,3,8,3,1,40399.9825,D1_RESISTANCE,40288.640078,40896.006512,38162.857562,3.5,0.0151,SL,-0.611,-1.744,1.216,False,24,3,2024-01-25 11:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0521,12.0,False,33.6
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,5,9,4,5,1,3,1,42653.445,D1_SUPPORT,43189.160194,42541.322791,44523.24,2.059,0.015,SL,-0.194,-1.244,1.07,True,41,4,2024-01-29 17:00:00+00:00,2024-01-31 10:00:00+00:00,0.0247,5.0,False,29.9
2024-01-31 19:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,3,15,4,4,1,3,1,43308.920909,H4_SUPPORT,43189.160194,42541.322791,44523.24,2.059,0.015,SL,-1.08,-1.408,0.0,False,1,2,2024-01-31 20:00:00+00:00,2024-01-31 21:00:00+00:00,0.0246,31.0,False,33.3
2024-02-02 22:00:00+00:00,BTCUSD,LONG,continuation,56,25,5,7,1,9,4,0,1,3,1,42633.542857,H4_SUPPORT,43189.160194,42541.322791,44523.24,2.059,0.015,SL,-1.08,-1.493,0.295,False,47,2,2024-02-02 23:00:00+00:00,2024-02-04 22:00:00+00:00,0.02,13.0,False,20.8
2024-04-01 11:00:00+00:00,BTCUSD,LONG,continuation,63,25,3,10,1,15,4,0,1,3,1,69059.485714,H4_SUPPORT,69321.08998,68281.27363,71495.184,2.091,0.015,SL,-1.08,-1.115,0.0,False,1,2,2024-04-01 14:00:00+00:00,2024-04-01 15:00:00+00:00,0.0616,52.0,True,29.2
2024-04-05 00:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,3,15,4,4,1,3,1,68378.462857,H4_SUPPORT,68468.788,67441.75618,70523.325,2.0,0.015,SL,-1.08,-1.006,0.0,False,1,2,2024-04-05 01:00:00+00:00,2024-04-05 02:00:00+00:00,0.0447,8.0,False,41.2
2024-04-07 19:00:00+00:00,BTCUSD,LONG,continuation,55,25,2,7,0,12,4,0,1,3,1,68378.462857,H4_SUPPORT,68929.87398,67694.678228,71495.184,2.077,0.0179,TP,1.231,0.0,2.576,True,10,5,2024-04-07 22:00:00+00:00,2024-04-08 08:00:00+00:00,0.0453,12.0,False,27.7
2024-04-09 17:00:00+00:00,BTCUSD,LONG,continuation,57,25,3,0,1,15,4,4,1,3,1,68398.03375,H4_SUPPORT,68686.34202,67656.04689,70881.307143,2.13,0.015,SL,-0.697,-1.093,0.881,False,17,3,2024-04-09 19:00:00+00:00,2024-04-10 12:00:00+00:00,0.0339,20.0,False,38.0
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,57,16,5,7,3,9,4,5,4,3,1,64787.16375,H4_RESISTANCE,63936.99457,64900.86886,60563.434555,3.5,0.0151,SL,0.077,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-15 11:00:00+00:00,BTCUSD,LONG,continuation,55,16,2,10,3,15,4,0,1,3,1,65843.08625,H4_SUPPORT,65728.39976,64150.383,69055.108889,2.108,0.024,SL,-1.05,-1.216,0.158,False,2,2,2024-04-15 13:00:00+00:00,2024-04-15 15:00:00+00:00,-0.0154,17.0,False,42.2
2024-04-17 12:00:00+00:00,BTCUSD,SHORT,continuation,64,16,5,7,5,15,4,4,4,3,1,62489.194444,H4_RESISTANCE,62442.3855,63379.021282,59164.160261,3.5,0.015,SL,0.983,-1.632,2.951,True,25,5,2024-04-17 13:00:00+00:00,2024-04-18 14:00:00+00:00,-0.0626,3.0,False,45.2
2024-04-19 03:00:00+00:00,BTCUSD,SHORT,continuation,57,16,5,7,1,12,4,4,4,3,1,62440.155,H4_RESISTANCE,61908.71028,63064.55655,57863.248335,3.5,0.0187,SL,-1.064,-2.635,0.146,False,2,2,2024-04-19 04:00:00+00:00,2024-04-19 06:00:00+00:00,-0.0648,8.0,False,42.3
2024-04-20 23:00:00+00:00,BTCUSD,LONG,continuation,62,16,5,7,5,15,4,5,1,3,1,64601.39875,H4_SUPPORT,64810.70882,63277.5825,68337.453333,2.3,0.0237,SL,-0.119,-1.007,1.58,True,108,4,2024-04-21 00:00:00+00:00,2024-04-25 12:00:00+00:00,-0.0144,5.0,False,32.0
2024-04-25 13:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,5,12,4,5,4,3,1,63956.84375,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,SL,-1.08,-1.023,0.0,False,5,2,2024-04-25 16:00:00+00:00,2024-04-25 21:00:00+00:00,-0.036,0.0,False,20.8
2024-04-26 10:00:00+00:00,BTCUSD,SHORT,continuation,55,16,5,7,3,12,4,0,4,3,1,64601.39875,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,TP,2.108,-0.53,3.681,True,96,5,2024-04-26 12:00:00+00:00,2024-04-30 12:00:00+00:00,-0.0248,0.0,False,20.7
2024-04-30 13:00:00+00:00,BTCUSD,SHORT,continuation,55,16,5,7,5,5,4,5,4,3,1,62117.05,H4_RESISTANCE,60942.21114,63274.087363,52780.644361,3.5,0.0383,SL,0.125,-1.025,1.882,True,81,4,2024-04-30 14:00:00+00:00,2024-05-03 23:00:00+00:00,-0.0667,0.0,False,23.2
2024-05-06 08:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,5,9,4,5,1,3,1,64349.0175,D1_SUPPORT,65012.75392,63705.527325,68357.405,2.559,0.0201,SL,-1.06,-1.277,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0175,5.0,False,33.0
2024-05-08 09:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,7,3,15,4,0,4,3,1,62497.076,D1_RESISTANCE,62426.61402,63363.01323,59149.216784,3.5,0.015,SL,0.076,-1.071,1.919,True,36,4,2024-05-08 10:00:00+00:00,2024-05-09 22:00:00+00:00,-0.0255,0.0,False,25.4
2024-05-16 15:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,0,15,4,5,4,3,1,65370.542222,H4_SUPPORT,65039.968935,64064.369401,67509.438889,2.531,0.015,TP,1.502,-0.214,2.727,True,65,5,2024-05-16 17:00:00+00:00,2024-05-19 10:00:00+00:00,0.0385,28.0,False,30.4
2024-05-19 15:00:00+00:00,BTCUSD,LONG,continuation,59,25,2,10,0,5,4,5,4,3,1,65370.542222,H4_SUPPORT,66756.10024,64716.8368,71488.081429,2.32,0.0305,TP,1.411,-0.441,2.334,True,31,5,2024-05-19 16:00:00+00:00,2024-05-20 23:00:00+00:00,0.0462,21.0,False,40.2
2024-05-23 16:00:00+00:00,BTCUSD,LONG,continuation,59,25,3,10,0,12,4,0,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,69661.125714,2.111,0.015,SL,-1.08,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0423,7.0,False,31.1
2024-05-24 05:00:00+00:00,BTCUSD,LONG,continuation,56,25,3,0,3,12,4,4,1,3,1,66767.36,H4_SUPPORT,67165.39002,65310.683625,71605.1075,2.394,0.0276,TIMEOUT,1.107,-0.305,1.899,True,240,5,2024-05-24 06:00:00+00:00,2024-06-03 06:00:00+00:00,0.033,12.0,False,30.5
2024-06-14 19:00:00+00:00,BTCUSD,SHORT,continuation,61,16,5,7,3,9,4,5,8,3,1,66525.2525,D1_RESISTANCE,65651.06004,67897.2399,57789.43053,3.5,0.0342,TIMEOUT,1.96,-0.734,3.227,True,240,5,2024-06-14 20:00:00+00:00,2024-06-24 20:00:00+00:00,-0.0329,0.0,False,21.8
2024-06-25 17:00:00+00:00,BTCUSD,SHORT,continuation,55,16,2,7,1,7,3,5,10,3,1,62556.095,D1_RESISTANCE,62223.62845,63161.6731,58940.472175,3.5,0.0151,SL,0.077,-1.606,2.303,True,127,4,2024-06-25 18:00:00+00:00,2024-07-01 01:00:00+00:00,-0.0716,24.0,False,43.4
2024-07-14 22:00:00+00:00,BTCUSD,LONG,continuation,55,16,5,7,5,9,4,4,1,3,1,59885.656,D1_SUPPORT,60739.6772,59286.79944,64156.966,2.352,0.0239,TP,1.42,-0.074,2.782,True,23,5,2024-07-14 23:00:00+00:00,2024-07-15 22:00:00+00:00,-0.0049,13.0,False,21.0
2024-07-15 23:00:00+00:00,BTCUSD,LONG,continuation,63,25,0,7,5,12,4,5,1,3,1,64156.966,D1_SUPPORT,64674.18545,63704.072668,67239.754,2.645,0.015,SL,-1.08,-1.247,0.33,False,5,2,2024-07-16 00:00:00+00:00,2024-07-16 05:00:00+00:00,0.0562,0.0,False,37.2
2024-07-16 06:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,0,15,4,5,4,3,1,62542.438,D1_SUPPORT,62773.84072,61832.233109,64832.7525,2.187,0.015,TP,1.287,-0.425,2.323,True,8,5,2024-07-16 07:00:00+00:00,2024-07-16 15:00:00+00:00,0.0258,4.0,False,39.6
2024-07-16 16:00:00+00:00,BTCUSD,LONG,continuation,72,25,5,7,3,15,4,5,4,3,1,64156.966,D1_SUPPORT,64371.0,61917.01362,71683.49,2.98,0.0381,TIMEOUT,1.139,-0.462,1.672,True,240,4,2024-07-16 17:00:00+00:00,2024-07-26 17:00:00+00:00,0.0507,11.0,False,37.6
