signal_time,symbol,side,playbook,score,macro_trend,momentum_rsi,momentum_ema,momentum_macd,sr_proximity,sr_quality,structural_events,ls_ratio,funding_rate,oi_behavior,nearest_level,nearest_label,entry,sl,tp,rr,sl_pct,outcome,R,mae_R,mfe_R,reached_half,bars_held,n_fills,fill_time,exit_time,ext_4h_ema200,ltf_exh,ltf_hard,adx
2023-12-19 00:00:00+00:00,BTCUSD,LONG,continuation,69,25,5,7,3,12,4,5,4,3,1,42485.9325,H4_SUPPORT,42628.53208,41989.104099,44037.325556,2.203,0.015,SL,-0.167,-1.241,1.358,True,16,4,2023-12-19 01:00:00+00:00,2023-12-19 17:00:00+00:00,0.068,35.0,True,29.5
2024-01-15 02:00:00+00:00,BTCUSD,SHORT,continuation,63,16,5,7,3,12,4,4,8,3,1,42821.782,D1_RESISTANCE,42484.51944,43249.99982,39805.33811,3.5,0.018,SL,-1.067,-1.197,0.42,False,15,2,2024-01-15 03:00:00+00:00,2024-01-15 18:00:00+00:00,-0.0188,10.0,False,27.9
2024-01-19 03:00:00+00:00,BTCUSD,SHORT,continuation,72,25,5,7,3,12,4,4,8,3,1,41511.13,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,SL,-0.611,-1.066,1.662,False,12,3,2024-01-19 06:00:00+00:00,2024-01-19 18:00:00+00:00,-0.0466,0.0,False,39.1
2024-01-22 03:00:00+00:00,BTCUSD,SHORT,continuation,73,25,5,7,5,12,4,3,8,3,1,41572.84,D1_RESISTANCE,41315.33525,41938.1795,39135.380375,3.5,0.0151,TP,2.108,0.0,3.866,True,27,5,2024-01-22 06:00:00+00:00,2024-01-23 09:00:00+00:00,-0.0378,13.0,False,28.6
2024-01-24 06:00:00+00:00,BTCUSD,SHORT,continuation,66,25,2,10,1,12,4,0,8,3,1,40448.7325,D1_RESISTANCE,40280.691963,40887.938575,38155.328819,3.5,0.0151,SL,-0.611,-1.758,1.312,False,49,3,2024-01-24 10:00:00+00:00,2024-01-26 11:00:00+00:00,-0.0611,16.0,False,40.2
2024-01-29 16:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,5,12,4,5,1,3,1,42825.265,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-0.696,-1.244,1.07,False,41,3,2024-01-29 17:00:00+00:00,2024-01-31 10:00:00+00:00,0.0247,5.0,False,29.9
2024-01-31 19:00:00+00:00,BTCUSD,LONG,continuation,56,16,5,7,3,12,4,4,1,3,1,42821.782,D1_SUPPORT,43189.160194,42541.322791,44578.96,2.145,0.015,SL,-1.08,-1.408,0.0,False,1,2,2024-01-31 20:00:00+00:00,2024-01-31 21:00:00+00:00,0.0246,31.0,False,33.3
2024-02-02 02:00:00+00:00,BTCUSD,LONG,continuation,61,25,5,7,3,12,4,0,1,3,1,42821.782,D1_SUPPORT,42994.24918,42349.335442,44578.96,2.457,0.015,SL,-0.676,-1.197,0.766,False,66,3,2024-02-02 04:00:00+00:00,2024-02-04 22:00:00+00:00,0.0181,26.0,False,24.2
2024-03-23 19:00:00+00:00,BTCUSD,LONG,continuation,54,16,2,10,3,12,4,3,0,3,1,64334.58,H4_SUPPORT,64743.1542,63691.2342,67169.077,2.306,0.0162,TP,1.368,-0.923,2.743,True,27,5,2024-03-23 20:00:00+00:00,2024-03-24 23:00:00+00:00,0.0347,5.0,False,22.9
2024-03-27 12:00:00+00:00,BTCUSD,LONG,continuation,59,25,5,7,1,9,4,3,1,3,1,68774.66,H4_SUPPORT,69047.844112,68012.126451,71564.155,2.43,0.015,SL,0.581,-2.943,2.418,True,132,5,2024-03-27 14:00:00+00:00,2024-04-02 02:00:00+00:00,0.1001,0.0,False,29.4
2024-04-05 03:00:00+00:00,BTCUSD,LONG,continuation,62,25,2,10,0,12,4,4,1,3,1,67159.533333,H4_SUPPORT,67728.26202,66487.938,70523.325,2.253,0.0183,SL,-1.066,-1.087,0.018,False,1,2,2024-04-05 04:00:00+00:00,2024-04-05 05:00:00+00:00,0.0331,4.0,False,38.6
2024-04-06 06:00:00+00:00,BTCUSD,LONG,continuation,68,25,5,7,5,12,4,5,1,3,1,67159.533333,H4_SUPPORT,67973.20116,66487.938,71495.184,2.371,0.0219,TP,1.427,-0.3,2.787,True,49,5,2024-04-06 07:00:00+00:00,2024-04-08 08:00:00+00:00,0.0352,0.0,False,26.7
2024-04-14 01:00:00+00:00,BTCUSD,SHORT,continuation,60,16,5,7,3,12,4,5,4,3,1,64299.893,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,SL,0.0,-1.584,1.871,True,20,4,2024-04-14 02:00:00+00:00,2024-04-14 22:00:00+00:00,-0.0498,5.0,False,32.3
2024-04-14 23:00:00+00:00,BTCUSD,LONG,continuation,54,16,2,10,5,12,4,0,1,3,1,65652.089167,H4_SUPPORT,65530.51632,63709.8228,69231.906,2.033,0.0278,SL,-0.666,-1.219,0.734,False,17,3,2024-04-15 00:00:00+00:00,2024-04-15 17:00:00+00:00,-0.0189,20.0,False,42.6
2024-04-16 18:00:00+00:00,BTCUSD,SHORT,continuation,60,16,5,7,0,12,4,4,8,3,1,63760.566667,H4_RESISTANCE,63936.99457,64900.86886,60955.181429,3.094,0.0151,TP,1.854,-0.583,3.316,True,17,5,2024-04-16 21:00:00+00:00,2024-04-17 14:00:00+00:00,-0.0546,10.0,False,46.4
2024-04-17 15:00:00+00:00,BTCUSD,SHORT,continuation,57,16,0,7,5,12,4,5,4,3,1,60955.181429,H4_RESISTANCE,60578.229287,61491.468925,57381.890556,3.5,0.0151,SL,-1.08,-1.509,0.503,False,2,2,2024-04-17 16:00:00+00:00,2024-04-17 18:00:00+00:00,-0.0921,0.0,False,46.1
2024-04-18 07:00:00+00:00,BTCUSD,SHORT,continuation,59,16,5,7,1,9,4,5,8,3,1,62307.776364,H4_RESISTANCE,61300.43616,62930.854128,55593.973273,3.5,0.0266,SL,-1.045,-1.087,0.0,False,3,2,2024-04-18 08:00:00+00:00,2024-04-18 11:00:00+00:00,-0.0762,9.0,False,48.5
2024-04-18 12:00:00+00:00,BTCUSD,SHORT,continuation,61,16,2,10,0,12,4,5,8,3,1,62307.776364,H4_RESISTANCE,62357.42592,64252.844556,55723.460695,3.5,0.0304,SL,-0.571,-1.37,1.455,False,17,3,2024-04-18 13:00:00+00:00,2024-04-19 06:00:00+00:00,-0.0598,22.0,False,47.5
2024-04-20 23:00:00+00:00,BTCUSD,LONG,continuation,59,16,5,7,5,12,4,5,1,3,1,64938.104667,H4_SUPPORT,64810.70882,63033.7104,68882.0,2.291,0.0274,SL,-0.114,-1.135,1.363,True,109,4,2024-04-21 00:00:00+00:00,2024-04-25 13:00:00+00:00,-0.0144,5.0,False,32.0
2024-04-25 14:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,5,12,4,5,4,3,1,64158.0325,D1_RESISTANCE,64306.426415,65275.870029,62307.964167,2.061,0.0151,SL,-1.08,-1.023,0.0,False,5,2,2024-04-25 16:00:00+00:00,2024-04-25 21:00:00+00:00,-0.0367,0.0,False,20.8
2024-04-26 10:00:00+00:00,BTCUSD,SHORT,continuation,55,16,5,7,3,12,4,0,4,3,1,64788.357857,H4_RESISTANCE,64306.426415,65275.870029,60913.373765,3.5,0.0151,TP,2.108,-0.53,3.681,True,96,5,2024-04-26 12:00:00+00:00,2024-04-30 12:00:00+00:00,-0.0248,0.0,False,20.7
2024-04-30 13:00:00+00:00,BTCUSD,SHORT,continuation,55,16,5,7,5,5,4,5,4,3,1,62397.982,D1_RESISTANCE,60942.21114,63021.96182,53663.08376,3.5,0.0341,SL,0.121,-1.087,2.111,True,78,4,2024-04-30 14:00:00+00:00,2024-05-03 20:00:00+00:00,-0.0667,0.0,False,23.2
2024-05-06 09:00:00+00:00,BTCUSD,LONG,continuation,54,16,5,7,5,12,4,0,1,3,1,64477.013333,D1_SUPPORT,65035.8676,63832.2432,68882.0,3.195,0.0185,SL,-1.065,-1.406,0.0,False,2,2,2024-05-06 10:00:00+00:00,2024-05-06 12:00:00+00:00,0.0178,5.0,False,33.0
2024-05-08 01:00:00+00:00,BTCUSD,SHORT,continuation,58,16,5,10,3,12,4,0,4,3,1,62595.908333,D1_RESISTANCE,62655.37062,65087.64816,54142.39923,3.5,0.0388,SL,-0.562,-1.026,1.015,False,182,3,2024-05-08 02:00:00+00:00,2024-05-15 16:00:00+00:00,-0.0224,20.0,False,28.8
2024-05-16 13:00:00+00:00,BTCUSD,LONG,continuation,62,25,0,7,1,12,4,5,4,3,1,65836.68,D1_SUPPORT,65039.968935,64064.369401,67160.595,2.174,0.015,TP,1.279,-0.214,2.472,True,22,5,2024-05-16 17:00:00+00:00,2024-05-17 15:00:00+00:00,0.047,4.0,False,29.5
2024-05-17 16:00:00+00:00,BTCUSD,LONG,continuation,66,25,5,7,3,12,4,5,1,3,1,65913.6425,D1_SUPPORT,66796.13002,65254.506075,71604.535,3.119,0.0231,TP,1.897,-0.609,3.362,True,79,5,2024-05-17 17:00:00+00:00,2024-05-21 00:00:00+00:00,0.0535,5.0,False,31.9
2024-05-23 17:00:00+00:00,BTCUSD,LONG,continuation,59,25,3,10,0,12,4,0,1,3,1,67160.595,D1_SUPPORT,67522.775317,66509.933687,71067.721021,3.5,0.015,SL,-1.08,-1.195,0.424,False,2,2,2024-05-23 18:00:00+00:00,2024-05-23 20:00:00+00:00,0.0395,7.0,False,31.1
2024-05-24 05:00:00+00:00,BTCUSD,LONG,continuation,56,25,3,0,3,12,4,4,1,3,1,67160.595,D1_SUPPORT,67165.39002,65145.6432,71646.142222,2.218,0.0301,TIMEOUT,1.024,-0.28,1.744,True,240,5,2024-05-24 06:00:00+00:00,2024-06-03 06:00:00+00:00,0.033,12.0,False,30.5
2024-06-09 19:00:00+00:00,BTCUSD,LONG,continuation,66,25,2,10,3,12,4,5,1,3,1,69011.145714,D1_SUPPORT,69616.63341,68572.383909,72135.8875,2.413,0.015,SL,-1.08,-1.069,0.555,False,29,2,2024-06-09 20:00:00+00:00,2024-06-11 01:00:00+00:00,0.0291,18.0,False,27.0
2024-06-12 14:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,12,4,5,0,3,1,68985.0,D1_SUPPORT,69603.838664,68559.781084,72135.8875,2.425,0.015,SL,-1.08,-2.255,0.248,False,4,2,2024-06-12 15:00:00+00:00,2024-06-12 19:00:00+00:00,0.0313,43.0,True,32.5
2024-06-14 16:00:00+00:00,BTCUSD,SHORT,continuation,58,8,5,7,5,12,4,5,8,3,1,66026.785714,D1_RESISTANCE,65518.28393,66505.996753,62900.89,2.65,0.0151,SL,-1.08,-1.123,0.446,False,4,2,2024-06-14 17:00:00+00:00,2024-06-14 21:00:00+00:00,-0.0366,5.0,False,20.3
2024-06-17 10:00:00+00:00,BTCUSD,SHORT,continuation,62,16,5,7,5,12,4,5,4,3,1,65989.286667,D1_RESISTANCE,66021.78,67824.94006,60333.11,3.155,0.0273,TP,1.928,-0.708,3.34,True,173,5,2024-06-17 11:00:00+00:00,2024-06-24 16:00:00+00:00,-0.0246,8.0,False,22.5
2024-06-24 21:00:00+00:00,BTCUSD,SHORT,continuation,59,16,0,7,3,12,4,5,8,3,1,60333.11,D1_RESISTANCE,60233.122659,61141.159684,57054.993071,3.5,0.0151,SL,-1.08,-1.504,0.254,False,5,2,2024-06-24 22:00:00+00:00,2024-06-25 03:00:00+00:00,-0.0941,5.0,False,39.4
2024-06-25 16:00:00+00:00,BTCUSD,SHORT,continuation,54,16,2,7,1,5,4,5,10,3,1,62900.89,D1_RESISTANCE,62223.62845,63161.6731,60333.11,2.015,0.0151,TP,1.18,-0.282,2.286,True,73,5,2024-06-25 18:00:00+00:00,2024-06-28 19:00:00+00:00,-0.0714,24.0,False,43.4
2024-06-28 20:00:00+00:00,BTCUSD,SHORT,continuation,66,16,5,7,5,12,4,5,8,3,1,60378.696667,D1_RESISTANCE,60583.886691,61497.211616,57387.249454,3.5,0.0151,SL,-1.08,-1.312,0.0,False,31,2,2024-06-29 00:00:00+00:00,2024-06-30 07:00:00+00:00,-0.0775,8.0,False,21.7
2024-07-03 12:00:00+00:00,BTCUSD,SHORT,continuation,61,16,0,7,5,12,4,5,8,3,1,60288.091667,D1_RESISTANCE,60558.852728,61471.800257,57363.536378,3.5,0.0151,TP,2.108,-0.199,3.637,True,19,5,2024-07-03 13:00:00+00:00,2024-07-04 08:00:00+00:00,-0.0689,35.0,True,22.3
2024-07-08 09:00:00+00:00,BTCUSD,SHORT,continuation,57,25,2,2,0,9,4,3,8,3,1,58872.897143,H4_RESISTANCE,57627.16428,59461.626114,51206.547859,3.5,0.0318,SL,-0.569,-1.005,1.541,False,43,3,2024-07-08 10:00:00+00:00,2024-07-10 05:00:00+00:00,-0.0818,33.0,False,39.2
2024-07-14 22:00:00+00:00,BTCUSD,LONG,continuation,58,16,5,7,5,12,4,4,1,3,1,60153.56875,D1_SUPPORT,60739.6772,59552.033062,64401.98,3.084,0.0196,TP,1.866,-0.09,3.404,True,23,5,2024-07-14 23:00:00+00:00,2024-07-15 22:00:00+00:00,-0.0049,13.0,False,21.0
2024-07-15 23:00:00+00:00,BTCUSD,LONG,continuation,63,25,0,7,5,12,4,5,1,3,1,64457.315556,D1_SUPPORT,64674.18545,63704.072668,67177.64,2.581,0.015,SL,-1.08,-1.247,0.33,False,5,2,2024-07-16 00:00:00+00:00,2024-07-16 05:00:00+00:00,0.0562,0.0,False,37.2
